                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.59404,                0.40649,                0.92965,                0.99366,                0.99167,                0.99468,                0.86264,                0.60204,                0.27249,                 0.9028,             0.00011317,             0.00011317,             0.00011317
                     88,                0.58765,                0.41151,                 0.9327,                0.99071,                0.99167,                0.99468,                0.86944,                0.60147,                0.27135,                0.90276,              0.0001061,              0.0001061,              0.0001061
                     89,                0.58019,                0.40586,                0.92849,                0.99324,                0.99278,                0.99484,                0.88508,                0.54707,                0.25434,                0.88083,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.58549,                0.40437,                0.93538,                0.99052,                0.99072,                0.99468,                0.87466,                0.58699,                0.27071,                0.89248,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.46419,                0.26148,                0.89192,                 0.9922,                0.99774,                0.99452,                0.89212,                 0.5237,                0.24588,                0.87486,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.44021,                0.24144,                0.88147,                0.99323,                0.99167,                0.99468,                0.88795,                0.51267,                0.24479,                0.87323,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.42917,                0.23476,                0.87796,                0.99398,                0.99092,                0.99468,                0.89313,                0.51777,                0.24411,                0.87327,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.41167,                0.22795,                0.87001,                0.99138,                0.99167,                0.99468,                0.89689,                0.50369,                0.23968,                0.86776,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.41194,                0.22484,                0.87105,                 0.9926,                0.99263,                0.99484,                0.90576,                0.48362,                0.23506,                0.85795,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.40318,                0.22543,                0.87098,                0.99472,                0.99167,                0.99468,                0.89522,                0.51353,                 0.2406,                0.87183,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                 0.3965,                0.22264,                0.86792,                0.99386,                0.99167,                0.99468,                0.90344,                0.49331,                0.23916,                0.86023,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.39375,                0.21992,                0.86062,                0.99239,                0.99269,                0.99484,                0.90632,                0.48162,                0.23789,                0.85534,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.39413,                0.22015,                0.86774,                0.99205,                0.99167,                0.99453,                0.90103,                0.49289,                0.24046,                0.86046,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.37604,                0.21673,                0.85856,                0.99442,                0.99301,                0.99484,                0.90465,                0.48227,                0.23412,                0.85472,             2.1277e-05,             2.1277e-05,             2.1277e-05
