                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.67808,                0.43438,                0.96887,                0.98661,                0.98416,                0.99398,                0.79557,                0.82577,                0.31951,                 1.1139,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                  0.676,                 0.4384,                0.96811,                0.98565,                0.96885,                0.99391,                0.79823,                0.81651,                0.33022,                 1.1064,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.68662,                0.42002,                 1.0034,                0.98669,                0.98489,                0.99304,                0.79119,                0.83126,                0.32672,                 1.1116,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.64162,                 0.3755,                0.97779,                0.98756,                0.98092,                0.99365,                0.80195,                0.80094,                0.31994,                 1.0954,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.60909,                 0.3497,                 0.9645,                0.98759,                0.98156,                0.99373,                0.80125,                0.81101,                0.31913,                 1.1069,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.61256,                 0.3418,                0.96002,                0.98521,                0.97833,                0.99365,                0.79303,                0.84008,                 0.3301,                  1.127,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.59642,                 0.3317,                0.95484,                0.97888,                0.98276,                  0.994,                0.79771,                0.82572,                0.32509,                 1.1209,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.59047,                0.33716,                0.95385,                0.98094,                 0.9833,                0.99324,                0.79791,                0.82683,                0.32653,                 1.1201,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.58892,                0.33993,                0.95602,                0.97578,                0.98045,                0.99255,                0.79343,                0.84159,                0.33789,                  1.133,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                 0.5685,                 0.3297,                0.93857,                0.98484,                0.97623,                0.99379,                0.79736,                 0.8303,                0.32775,                 1.1267,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.58367,                0.32767,                0.94338,                0.98468,                0.98413,                0.99387,                 0.8017,                0.82115,                0.32025,                 1.1195,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.57593,                0.32047,                  0.939,                0.98421,                0.97799,                0.99383,                0.79924,                0.82207,                0.32369,                 1.1229,             2.1277e-05,             2.1277e-05,             2.1277e-05
